,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_temp,Wind_speed
169,vila franca do campo,75.0,PT,2019-03-31,82.0,37.72,-25.43,55.4,17.22
170,coquimbo,0.0,CL,2019-03-31,77.0,-29.95,-71.34,59.0,8.05
171,mabai,88.0,CN,2019-03-31,97.0,23.01,104.4,63.65,2.73
172,champerico,75.0,MX,2019-03-31,61.0,16.38,-93.6,78.8,28.86
173,itarema,92.0,BR,2019-03-31,97.0,-2.92,-39.92,77.69,4.18
174,pacifica,1.0,US,2019-03-31,87.0,37.61,-122.49,62.01,8.05
175,aras,0.0,YE,2019-03-31,76.0,14.28,44.38,39.71,1.28
176,kindu,24.0,CD,2019-03-31,90.0,-2.95,25.92,73.19,3.4
177,antsohihy,32.0,MG,2019-03-31,98.0,-14.88,47.99,72.65,3.51
178,outjo,0.0,NA,2019-03-31,81.0,-20.11,16.16,60.68,2.95
179,saint pete beach,90.0,US,2019-03-31,78.0,27.73,-82.74,72.0,5.08
180,dingle,0.0,PH,2019-03-31,43.0,11.0,122.67,88.13,13.24
181,laguna,32.0,MX,2019-03-31,23.0,27.52,-110.01,75.98,4.97
182,llandrindod wells,0.0,GB,2019-03-31,84.0,52.24,-3.38,39.99,9.44
183,xai-xai,0.0,MZ,2019-03-31,100.0,-25.04,33.64,70.58,8.55
184,sitka,0.0,US,2019-03-31,41.0,37.17,-99.65,41.0,7.0
185,manokwari,68.0,ID,2019-03-31,96.0,-0.87,134.08,82.91,14.92
186,cockburn town,0.0,TC,2019-03-31,100.0,21.46,-71.14,77.15,11.23
187,maniitsoq,76.0,GL,2019-03-31,87.0,65.42,-52.9,22.97,12.8
188,torremolinos,75.0,ES,2019-03-31,100.0,36.62,-4.5,57.0,4.7
189,acapulco,5.0,MX,2019-03-31,73.0,16.86,-99.88,77.0,4.7
190,naze,0.0,NG,2019-03-31,92.0,5.43,7.07,75.44,4.41
191,san jeronimo,64.0,PE,2019-03-31,95.0,-13.65,-73.37,43.31,1.61
192,port angeles,1.0,US,2019-03-31,57.0,48.12,-123.43,54.0,1.39
193,portland,1.0,US,2019-03-31,62.0,45.52,-122.67,62.6,1.95
194,verkhniy avzyan,92.0,RU,2019-03-31,93.0,53.53,57.54,32.33,11.56
195,kahului,75.0,US,2019-03-31,61.0,20.89,-156.47,80.6,9.17
196,grand-bourg,0.0,GP,2019-03-31,83.0,15.88,-61.31,73.4,1.12
197,nizhnekamsk,90.0,RU,2019-03-31,93.0,55.64,51.82,35.6,11.18
198,hofn,68.0,IS,2019-03-31,99.0,64.25,-15.21,40.16,16.93
199,komsomolskiy,20.0,RU,2019-03-31,83.0,67.55,63.78,20.18,15.26
200,egvekinot,76.0,RU,2019-03-31,92.0,66.32,-179.17,30.62,3.51
201,mareeba,75.0,AU,2019-03-31,62.0,-16.99,145.42,87.8,12.75
202,puri,20.0,ID,2019-03-31,70.0,-7.54,112.45,86.0,4.7
203,marfino,0.0,RU,2019-03-31,74.0,56.07,37.56,41.0,13.42
204,tessalit,92.0,ML,2019-03-31,37.0,20.2,1.01,77.06,10.67
205,vila,0.0,IT,2019-03-31,56.0,45.18,8.4,52.0,9.17
206,calbuco,90.0,CL,2019-03-31,93.0,-41.77,-73.13,55.4,4.7
207,torbay,90.0,CA,2019-03-31,100.0,47.66,-52.73,46.0,10.29
208,ilulissat,0.0,GL,2019-03-31,56.0,69.22,-51.1,15.8,17.22
209,lypova dolyna,32.0,UA,2019-03-31,88.0,50.56,33.8,39.8,9.1
210,vestmanna,80.0,FO,2019-03-31,81.0,62.16,-7.17,42.8,16.11
211,ust-kuyga,24.0,RU,2019-03-31,78.0,70.0,135.55,23.33,4.18
